Lambda,Circuit,Converged,Iterations,Error,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6
1,1,1,402,NaN,6.84492021539876,-1.0695188177947,-1.0695188177947,-5.7754010720068,-1.0695188177947,-6.84491949906523
1,2,0,1000,7.7325109812852e+194,1.82001745667199e+195,5.21517756167663e+194,-6.06672485557331e+194,1.41688412629851e+195,8.95366370130849e+194,
1,3,0,1000,5.56488994353522e+115,6.82178160733136e+115,-2.99112016417173e+114,4.74298451856696e+115,-1.36435632146627e+116,4.44387250214978e+115,
1.1,1,0,1000,2.55421524572177e+55,-6.82986947077635e+56,5.79314550463665e+55,4.78610605005576e+55,-6.96392558626628e+56,3.39698604298899e+55,-2.05512937360365e+56
1.1,2,0,1000,1.08004667875497e+264,-2.18196173724282e+264,-5.09926311815057e+263,8.19272544342714e+263,-1.84446035204814e+264,-1.67606978116555e+264,
1.1,3,0,1000,5.73400542861146e+251,5.98756799241943e+251,4.86470649544976e+250,4.78424796497145e+251,-1.3954543077962e+252,6.14193192053971e+251,
1.2,1,0,1000,2.82513569447413e+130,6.58896680030122e+131,2.34186694032397e+130,7.61166066346267e+130,1.23016781399249e+132,1.5308594501661e+131,-9.32800559930221e+130
1.2,2,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.2,3,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.3,1,0,1000,9.5036128781649e+201,-2.50106514034331e+203,4.0977103539194e+202,4.87337535072127e+202,-1.25923595052268e+203,5.37961988219297e+202,-1.5436810401726e+203
1.3,2,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.3,3,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.4,1,0,1000,4.9101790835425e+267,-5.19449611888129e+268,2.75650768563729e+268,4.65658202359117e+268,1.10272845230125e+269,7.52398722829708e+268,-1.24695565944583e+269
1.4,2,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.4,3,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.5,1,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,2,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.5,3,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.6,1,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6,2,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.6,3,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.7,1,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7,2,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.7,3,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.8,1,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8,2,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.8,3,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.9,1,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.9,2,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
1.9,3,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
2,1,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
2,3,0,1000,NaN,NaN,NaN,NaN,NaN,NaN,
